state	receive	newState

1992	AND-expression	63
1992	additive-expression	64
1992	assignment-expression	65
1992	cast-expression	66
1992	conditional-expression	67
1992	constant	42
1992	equality-expression	68
1992	exclusive-OR-expression	69
1992	expression	3128
1992	inclusive-OR-expression	70
1992	logical-AND-expression	71
1992	logical-OR-expression	72
1992	multiplicative-expression	73
1992	postfix-expression	74
1992	primary-expression	53
1992	relational-expression	75
1992	shift-expression	76
1992	unary-expression	77
4552	cast-expression	5160
4552	constant	5162
4552	multiplicative-expression	5159
4552	postfix-expression	5165
4552	primary-expression	5166
4552	unary-expression	5168
5064	cast-expression	5799
5064	constant	5801
5064	multiplicative-expression	5798
5064	postfix-expression	5804
5064	primary-expression	5805
5064	unary-expression	5807
465	AND-expression	825
465	additive-expression	826
465	cast-expression	827
465	constant	829
465	equality-expression	830
465	exclusive-OR-expression	831
465	inclusive-OR-expression	833
465	logical-AND-expression	835
465	multiplicative-expression	836
465	postfix-expression	837
465	primary-expression	838
465	relational-expression	839
465	shift-expression	840
465	unary-expression	842
1489	cast-expression	2356
1489	constant	2353
1489	postfix-expression	2357
1489	primary-expression	2358
1489	unary-expression	2360
1978	additive-expression	3049
1978	cast-expression	3050
1978	constant	3052
1978	multiplicative-expression	3055
1978	postfix-expression	3056
1978	primary-expression	3057
1978	unary-expression	3059
5050	cast-expression	5710
5050	constant	5707
5050	postfix-expression	5711
5050	primary-expression	5712
5050	unary-expression	5714
1411	AND-expression	63
1411	additive-expression	64
1411	assignment-expression	65
1411	cast-expression	66
1411	conditional-expression	67
1411	constant	42
1411	equality-expression	68
1411	exclusive-OR-expression	69
1411	expression	1985
1411	inclusive-OR-expression	70
1411	logical-AND-expression	71
1411	logical-OR-expression	72
1411	multiplicative-expression	73
1411	postfix-expression	74
1411	primary-expression	53
1411	relational-expression	75
1411	shift-expression	76
1411	unary-expression	77
4483	AND-expression	63
4483	additive-expression	64
4483	assignment-expression	65
4483	cast-expression	66
4483	conditional-expression	67
4483	constant	42
4483	equality-expression	68
4483	exclusive-OR-expression	69
4483	expression	5124
4483	inclusive-OR-expression	70
4483	logical-AND-expression	71
4483	logical-OR-expression	72
4483	multiplicative-expression	73
4483	postfix-expression	74
4483	primary-expression	53
4483	relational-expression	75
4483	shift-expression	76
4483	unary-expression	77
108	AND-expression	223
108	additive-expression	224
108	assignment-expression	229
108	cast-expression	225
108	conditional-expression	226
108	constant	42
108	equality-expression	227
108	exclusive-OR-expression	228
108	inclusive-OR-expression	230
108	logical-AND-expression	231
108	logical-OR-expression	232
108	multiplicative-expression	233
108	postfix-expression	234
108	primary-expression	53
